ID	Genus	value	Group
SY32	Porphyromonas	0.006509	CT1
SY32	Fusobacterium	0	CT1
SY32	Stenotrophomonas	0	CT1
SY32	Moraxella	0.004996444	CT1
SY32	Anaerococcus	0.005306969	CT1
SY32	Sphingomonas	9.42E-05	CT1
SY32	Peptoniphilus	0.000297503	CT1
SY32	others	0.502349971	CT1
SY33	Corynebacterium	0.512196641	CT1
SY33	Propionibacterium	0.006493291	CT1
SY33	Staphylococcus	0.3574936	CT1
SY33	Streptococcus	0.000960184	CT1
SY33	Lactobacillus	0.000245068	CT1
SY33	Alloiococcus	0.005693808	CT1
SY33	Prevotella	0.000141617	CT1
SY33	Haemophilus	1.91E-05	CT1
SY33	Bacteroides	0	CT1
SY33	Porphyromonas	0.000197862	CT1
SY33	Fusobacterium	0.000131573	CT1
SY33	Stenotrophomonas	0	CT1
SY33	Moraxella	0.003632828	CT1
SY33	Anaerococcus	0.049171239	CT1
SY33	Sphingomonas	0.000480092	CT1
SY33	Peptoniphilus	0.045519328	CT1
SY33	others	0.017623787	CT1
SY34	Corynebacterium	0.166224265	CT2
SY34	Propionibacterium	0.000191873	CT2
SY34	Staphylococcus	0.671355062	CT2
SY34	Streptococcus	0.020677095	CT2
SY34	Lactobacillus	0.003227974	CT2
SY34	Alloiococcus	0.010146675	CT2
SY34	Prevotella	0.000114918	CT2
SY34	Haemophilus	0.002459458	CT2
SY34	Bacteroides	0.003497827	CT2
SY34	Porphyromonas	0.005188769	CT2
SY34	Fusobacterium	0.000114918	CT2
SY34	Stenotrophomonas	0.006956664	CT2
SY34	Moraxella	0.006149158	CT2
SY34	Anaerococcus	0	CT2
SY34	Sphingomonas	0.003227974	CT2
SY34	Peptoniphilus	0	CT2
SY34	others	0.100467369	CT2
SY35	Corynebacterium	0.048655785	CT2
SY35	Propionibacterium	0.004604737	CT2
SY35	Staphylococcus	0.909821571	CT2
SY35	Streptococcus	0.01093975	CT2
SY35	Lactobacillus	0	CT2
SY35	Alloiococcus	0.004285686	CT2
SY35	Prevotella	0.000266043	CT2
SY35	Haemophilus	0.001916307	CT2
SY35	Bacteroides	0	CT2
SY35	Porphyromonas	0.005296847	CT2
SY35	Fusobacterium	0	CT2
SY35	Stenotrophomonas	0	CT2
SY35	Moraxella	0.001916307	CT2
SY35	Anaerococcus	0.004524724	CT2
SY35	Sphingomonas	0	CT2
SY35	Peptoniphilus	0.000240038	CT2
SY35	others	0.007532205	CT2
SY36	Corynebacterium	0.506626493	CT1
SY36	Propionibacterium	0.014855985	CT1
SY36	Staphylococcus	0.006491994	CT1
SY36	Streptococcus	0.011364989	CT1
SY36	Lactobacillus	0.001146999	CT1
SY36	Alloiococcus	0.000118	CT1
SY36	Prevotella	0.026473974	CT1
SY36	Haemophilus	0.001314999	CT1
SY36	Bacteroides	5.10E-05	CT1
SY36	Porphyromonas	0.000489	CT1
SY36	Fusobacterium	0.001702998	CT1
SY36	Stenotrophomonas	0	CT1
SY36	Moraxella	0	CT1
SY36	Anaerococcus	0.068797931	CT1
SY36	Sphingomonas	0.000185	CT1
SY36	Peptoniphilus	0.145301855	CT1
SY36	others	0.215078785	CT1
SY37	Corynebacterium	0.977341909	CT1
SY37	Propionibacterium	0.015499062	CT1
SY37	Staphylococcus	0.001712007	CT1
SY37	Streptococcus	0.000270001	CT1
SY37	Lactobacillus	0.000330001	CT1
SY37	Alloiococcus	0	CT1
SY37	Prevotella	4.50E-05	CT1
SY37	Haemophilus	0	CT1
SY37	Bacteroides	0.000195001	CT1
SY37	Porphyromonas	0.000150001	CT1
SY37	Fusobacterium	0	CT1
SY37	Stenotrophomonas	0	CT1
SY37	Moraxella	0	CT1
SY37	Anaerococcus	0.000105	CT1
SY37	Sphingomonas	0	CT1
SY37	Peptoniphilus	7.50E-05	CT1
SY37	others	0.004277017	CT1
SY38	Corynebacterium	0.357167357	CT1
SY38	Propionibacterium	0.486698487	CT1
SY38	Staphylococcus	0	CT1
SY38	Streptococcus	0	CT1
SY38	Lactobacillus	0.001792002	CT1
SY38	Alloiococcus	0	CT1
SY38	Prevotella	0.000295	CT1
SY38	Haemophilus	0	CT1
SY38	Bacteroides	0	CT1
SY38	Porphyromonas	0	CT1
SY38	Fusobacterium	0	CT1
SY38	Stenotrophomonas	0	CT1
SY38	Moraxella	0	CT1
SY38	Anaerococcus	0.115275115	CT1
SY38	Sphingomonas	0	CT1
SY38	Peptoniphilus	9.80E-05	CT1
SY38	others	0.038674039	CT1
SY39	Corynebacterium	0.508756491	CT1
SY39	Propionibacterium	0.000910999	CT1
SY39	Staphylococcus	0	CT1
SY39	Streptococcus	0	CT1
SY39	Lactobacillus	0.000835999	CT1
SY39	Alloiococcus	0.479492521	CT1
SY39	Prevotella	0.000224	CT1
SY39	Haemophilus	0.001731998	CT1
SY39	Bacteroides	0	CT1
SY39	Porphyromonas	0	CT1
SY39	Fusobacterium	0	CT1
SY39	Stenotrophomonas	4.50E-05	CT1
SY39	Moraxella	0	CT1
SY39	Anaerococcus	0.003284997	CT1
SY39	Sphingomonas	0	CT1
SY39	Peptoniphilus	0.001358999	CT1
SY39	others	0.003358997	CT1
SY40	Corynebacterium	0.763434237	CT1
SY40	Propionibacterium	0.166785833	CT1
SY40	Staphylococcus	0.001302999	CT1
SY40	Streptococcus	1.40E-05	CT1
SY40	Lactobacillus	0.001241999	CT1
SY40	Alloiococcus	0	CT1
SY40	Prevotella	0	CT1
SY40	Haemophilus	0	CT1
SY40	Bacteroides	0.000802999	CT1
